# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
112.194.204.107||||||||
112.78.154.44||||||||
113.235.113.14|4837|113.224.0.0/12|CN|apnic|2008-12-08|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN|t1eeXYDyhan1Bs5rhwQ6NYyf8bVw6QVEwu2|04cf35f933f48ea2e13b9555e3ba4aa3aaa1f2fbf6ef0046e18c08fd4b50f7c8c88bd90341ac30c764c1aa66eef685613491f29969ab29019f0aeadc93e5e03f19
113.235.113.14:16137|4837|113.224.0.0/12|CN|apnic|2008-12-08|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN|t1eeXYDyhan1Bs5rhwQ6NYyf8bVw6QVEwu2|04cf35f933f48ea2e13b9555e3ba4aa3aaa1f2fbf6ef0046e18c08fd4b50f7c8c88bd90341ac30c764c1aa66eef685613491f29969ab29019f0aeadc93e5e03f19
113.235.113.14:16197||||||||
113.53.125.54||||||||
114.186.13.140:16157||||||||
114.186.13.140:16187||||||||
114.186.13.140:16197||||||||
114.231.15.251||||||||
114.231.15.251:16137||||||||
114.231.15.251:16147||||||||
114.231.15.251:16157||||||||
114.231.15.251:16167||||||||
114.231.15.251:16177||||||||
114.231.15.251:16187||||||||
114.231.15.251:16197||||||||
114.231.242.185:16137||||||||
114.231.242.185:16147||||||||
114.231.242.185:16157||||||||
114.231.242.185:16167||||||||
114.231.242.185:16177||||||||
114.231.242.185:16187||||||||
114.231.242.185:16197||||||||
114.231.242.99:16137||||||||
114.231.242.99:16147||||||||
114.231.242.99:16157||||||||
114.231.242.99:16167||||||||
114.231.242.99:16177||||||||
114.231.242.99:16187||||||||
114.231.242.99:16197||||||||
114.231.6.254||||||||
114.231.6.254:16137||||||||
114.231.6.254:16147||||||||
114.231.6.254:16157||||||||
114.231.6.254:16167||||||||
114.231.6.254:16177||||||||
114.231.6.254:16187||||||||
114.231.6.254:16197||||||||
114.232.0.204||||||||
114.232.0.204:16137||||||||
114.232.0.204:16147||||||||
114.232.0.204:16157||||||||
114.232.0.204:16167||||||||
114.232.0.204:16177||||||||
114.232.0.204:16187||||||||
114.232.0.204:16197||||||||
114.232.104.110||||||||
114.232.104.110:16137||||||||
114.232.104.110:16147||||||||
114.232.104.110:16157||||||||
114.232.104.110:16167||||||||
114.232.104.110:16177||||||||
114.232.104.110:16187||||||||
114.232.104.110:16197||||||||
114.232.104.29:16147||||||||
114.232.104.29:16157||||||||
114.232.104.29:16167||||||||
114.232.104.29:16177||||||||
114.232.104.29:16187||||||||
114.232.104.29:16197||||||||
114.232.115.131||||||||
114.232.115.131:16137||||||||
114.232.115.131:16147||||||||
114.232.115.131:16157||||||||
114.232.115.131:16167||||||||
114.232.115.131:16177||||||||
114.232.115.131:16187||||||||
114.232.115.131:16197||||||||
114.232.115.200||||||||
114.232.115.200:16137||||||||
114.232.115.200:16147||||||||
114.232.115.200:16157||||||||
114.232.115.200:16167||||||||
114.232.115.200:16177||||||||
114.232.115.200:16187||||||||
114.232.115.233||||||||
114.232.115.233:16137||||||||
114.232.115.233:16147||||||||
114.232.115.233:16157||||||||
114.232.115.233:16167||||||||
114.232.115.233:16177||||||||
114.232.115.233:16187||||||||
114.232.115.233:16197||||||||
114.232.14.229||||||||
114.232.14.229:16137||||||||
114.232.14.229:16147||||||||
114.232.14.229:16157||||||||
114.232.14.229:16167||||||||
114.232.14.229:16177||||||||
114.232.14.229:16187||||||||
114.232.14.229:16197||||||||
114.232.14.75||||||||
114.232.14.75:16137||||||||
114.232.14.75:16147||||||||
114.232.14.75:16157||||||||
114.232.14.75:16167||||||||
114.232.14.75:16177||||||||
114.232.14.75:16187||||||||
114.232.14.75:16197||||||||
114.250.162.80||||||||
114.45.188.229||||||||
114.45.188.229:16137||||||||
114.45.188.229:16147||||||||
114.45.188.229:16157||||||||
114.45.188.229:16167||||||||
114.45.188.229:16177||||||||
114.45.188.229:16187||||||||
114.45.210.122||||||||
115.132.139.13||||||||
115.133.253.251||||||||
115.133.253.251:16197||||||||
115.70.13.112||||||||
115.70.13.112:16137||||||||
115.70.13.112:16147||||||||
115.70.83.156||||||||
115.97.229.139||||||||
116.202.102.255||||||||
116.202.107.38||||||||
116.202.108.9||||||||
116.202.110.165||||||||
116.202.112.233||||||||
116.202.156.44||||||||
116.202.194.60||||||||
116.203.102.143||||||||
116.203.120.108||||||||
116.203.146.203||||||||
116.203.181.79||||||||
116.203.187.223||||||||
116.203.196.108||||||||
116.203.198.160||||||||
116.203.220.20||||||||
116.203.222.85||||||||
116.203.239.180||||||||
116.203.24.130||||||||
116.203.31.7||||||||
116.203.32.141||||||||
116.203.33.104||||||||
116.203.55.133||||||||
116.251.187.90||||||||
116.251.187.94:16157||||||||
116.251.187.94:16167||||||||
116.251.187.94:16177||||||||
116.251.187.94:16187||||||||
116.251.187.94:16197||||||||
116.88.135.218||||||||
116.88.135.218:16137||||||||
117.216.122.73||||||||
117.86.127.65||||||||
117.86.127.65:16137||||||||
117.86.127.65:16147||||||||
117.86.127.65:16157||||||||
117.86.127.65:16167||||||||
117.86.127.65:16177||||||||
117.86.127.65:16187||||||||
117.86.127.65:16197||||||||
117.86.127.74||||||||
117.86.127.74:16137||||||||
117.86.127.74:16147||||||||
117.86.127.74:16157||||||||
118.150.89.153||||||||
118.163.15.61||||||||
118.163.15.61:16137||||||||
118.163.15.61:16147||||||||
118.163.15.65:16157||||||||
118.189.188.136||||||||
118.189.188.136:16137||||||||
118.189.188.136:16147||||||||
118.189.188.136:16157||||||||
118.189.188.136:16167||||||||
118.189.188.136:16177||||||||
118.189.188.136:16187||||||||
118.189.188.136:16197||||||||
12.221.177.114||||||||
120.29.48.244||||||||
121.103.201.185||||||||
121.112.224.186||||||||
121.121.202.58||||||||
121.122.81.132:16137||||||||
121.122.81.132:16147||||||||
121.123.71.22||||||||
121.226.101.93||||||||
121.226.101.93:16137||||||||
121.226.101.93:16147||||||||
121.226.101.93:16157||||||||
121.226.101.93:16167||||||||
121.226.101.93:16177||||||||
121.226.101.93:16187||||||||
121.226.101.93:16197||||||||
121.226.16.4||||||||
121.226.16.4:16137||||||||
121.226.16.4:16147||||||||
121.226.16.4:16157||||||||
121.226.16.4:16167||||||||
121.226.16.4:16177||||||||
121.226.16.4:16187||||||||
121.226.16.4:16197||||||||
121.226.17.17||||||||
121.226.17.17:16137||||||||
121.226.17.17:16147||||||||
121.226.17.17:16157||||||||
121.226.17.17:16167||||||||
121.226.17.17:16177||||||||
121.226.17.17:16187||||||||
121.226.17.17:16197||||||||
121.226.17.244||||||||
121.226.17.244:16137||||||||
121.226.17.244:16147||||||||
121.226.17.244:16157||||||||
121.226.17.244:16167||||||||
121.226.17.244:16177||||||||
121.226.17.244:16187||||||||
121.226.17.244:16197||||||||
121.226.19.110||||||||
121.226.19.110:16137||||||||
121.226.19.110:16147||||||||
121.226.19.110:16157||||||||
121.226.19.110:16167||||||||
121.226.19.110:16177||||||||
121.226.19.110:16187||||||||
